url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/towels-menu,"Trident\nSet of 8 Green & Purple Cotton 400 GSM Towels\nRs. 1,600Rs. 880(45% off)\nSizes: Onesize",http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461219/2016/8/10/11470820070410-Trident-Unisex-Towel-Set-8231470820070235-1_mini.jpg",Trident Set of 8 Green & Purple Cotton 400 GSM Towels,http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,Trident,http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,Set of 8 Green & Purple Cotton 400 GSM Towels,http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,"Rs. 1,600",http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,Rs. 880,http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,(45% off),http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,Sizes: Onesize,http://www.myntra.com/towel-set/trident/trident-set-of-8-green--purple-cotton-400-gsm-towels/1461219/buy?src=search,Onesize
http://www.myntra.com/towels-menu,"SPACES\nWhite & Green 100% Cotton Set of 4 Towels\nRs. 1,395Rs. 837(40% off)\nSizes: Freesize",http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240607/2016/4/6/11459930038756-SPACES-White--Green-100-Cotton-Set-of-4-Towels-3141459930038091-1_mini.jpg",SPACES White & Green 100% Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,SPACES,http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,White & Green 100% Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,"Rs. 1,395",http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,Rs. 837,http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,(40% off),http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/spaces/spaces-white--green-100-cotton-set-of-4-towels/1240607/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"SPACES\nSet of 4 Maroon & Mustard Yellow 450 GSM Towels\nRs. 1,995\nSizes: Onesize",http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1449319/2016/8/9/11470720160667-SPACES-Self-Striped-450-GSM-Set-of-4-Towels-5161470720160531-1_mini.jpg",SPACES Set of 4 Maroon & Mustard Yellow 450 GSM Towels,http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,SPACES,http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,Set of 4 Maroon & Mustard Yellow 450 GSM Towels,http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,,,"Rs. 1,995",http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,,,Sizes: Onesize,http://www.myntra.com/towel-set/spaces/spaces-set-of-4-maroon--mustard-yellow-450-gsm-towels/1449319/buy?src=search,Onesize
http://www.myntra.com/towels-menu,"WELHOME\nBlue 100% Cotton Set of 2 Bath Towels\nRs. 1,095Rs. 711(35% off)\nSizes: Freesize",http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240610/2016/4/6/11459930055008-WELHOME-Blue-100-Cotton-Set-of-2-Bath-Towels-9641459930054522-1_mini.jpg",WELHOME Blue 100% Cotton Set of 2 Bath Towels,http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,WELHOME,http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,Blue 100% Cotton Set of 2 Bath Towels,http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,"Rs. 1,095",http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,Rs. 711,http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,(35% off),http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,Sizes: Freesize,http://www.myntra.com/bath-towels/welhome/welhome-blue-100-cotton-set-of-2-bath-towels/1240610/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"SPACES\nWhite & Yellow 100% Cotton Set of 4 Towels\nRs. 1,395Rs. 837(40% off)\nSizes: Freesize",http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240606/2016/4/6/11459930030899-SPACES-White--Yellow-100-Cotton-Set-of-4-Towels-5121459930030516-1_mini.jpg",SPACES White & Yellow 100% Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,SPACES,http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,White & Yellow 100% Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,"Rs. 1,395",http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,Rs. 837,http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,(40% off),http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/spaces/spaces-white--yellow-100-cotton-set-of-4-towels/1240606/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"WELHOME\nBlue 100% Cotton Set of 10 Towels\nRs. 1,750Rs. 962(45% off)\nSizes: Freesize",http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240625/2016/4/6/11459924870510-WELHOME-Blue-100-Cotton-Set-of-10-Towels-3711459924870057-1_mini.jpg",WELHOME Blue 100% Cotton Set of 10 Towels,http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,WELHOME,http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,Blue 100% Cotton Set of 10 Towels,http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,"Rs. 1,750",http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,Rs. 962,http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,(45% off),http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/welhome/welhome-blue-100-cotton-set-of-10-towels/1240625/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"SPACES\nBlue 100% Cotton Set of 3 Towels\nRs. 1,295Rs. 777(40% off)\nSizes: Freesize",http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240630/2016/4/6/11459937272372-SPACES-Pink-100-Cotton-Set-of-3-Towels-821459937272024-1_mini.jpg",SPACES Blue 100% Cotton Set of 3 Towels,http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,SPACES,http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,Blue 100% Cotton Set of 3 Towels,http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,"Rs. 1,295",http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,Rs. 777,http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,(40% off),http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/spaces/spaces-blue-100-cotton-set-of-3-towels/1240630/buy?src=search,Freesize
http://www.myntra.com/towels-menu,Trident\nChhota Bheem Kids Multicoloured 350 GSM Cotton Bath Towel\nRs. 449Rs. 381(15% off)\nSizes: Large,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1433083/2016/7/29/11469771314793-Trident-Unisex-Bath-Towels-4571469771314587-1_mini.jpg",Trident Chhota Bheem Kids Multicoloured 350 GSM Cotton Bath Towel,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Trident,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Chhota Bheem Kids Multicoloured 350 GSM Cotton Bath Towel,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Rs. 449,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Rs. 381,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,(15% off),http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Sizes: Large,http://www.myntra.com/bath-towels/trident/trident-chhota-bheem-kids-multicoloured-350-gsm-cotton-bath-towel/1433083/buy?src=search,Large
http://www.myntra.com/towels-menu,"WELHOME\nSea Green 100% Cotton Set of 2 Bath Towels\nRs. 1,095Rs. 711(35% off)\nSizes: Freesize",http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240613/2016/4/5/11459837216985-WELHOME-Sea-Green-100-Cotton-Set-of-2-Bath-Towels-6641459837216178-1_mini.jpg",WELHOME Sea Green 100% Cotton Set of 2 Bath Towels,http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,WELHOME,http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,Sea Green 100% Cotton Set of 2 Bath Towels,http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,"Rs. 1,095",http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,Rs. 711,http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,(35% off),http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,Sizes: Freesize,http://www.myntra.com/bath-towels/welhome/welhome-sea-green-100-cotton-set-of-2-bath-towels/1240613/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"WELHOME\nBlue Cotton Set of 4 Towels\nRs. 1,395Rs. 767(45% off)\nSizes: Freesize",http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240615/2016/4/6/11459927065270-WELHOME-Unisex-Towel-Set-6531459927065000-1_mini.jpg",WELHOME Blue Cotton Set of 4 Towels,http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,WELHOME,http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,Blue Cotton Set of 4 Towels,http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,"Rs. 1,395",http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,Rs. 767,http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,(45% off),http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/welhome/welhome-blue-cotton-set-of-4-towels/1240615/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"SPACES\nWhite & Orange Cotton Set of 4 Towels\nRs. 1,395Rs. 837(40% off)\nSizes: Freesize",http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240608/2016/4/6/11459930046202-SPACES-White--Orange-100-Cotton-Set-of-4-Towels-4261459930045773-1_mini.jpg",SPACES White & Orange Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,SPACES,http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,White & Orange Cotton Set of 4 Towels,http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,"Rs. 1,395",http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,Rs. 837,http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,(40% off),http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/spaces/spaces-white--orange-cotton-set-of-4-towels/1240608/buy?src=search,Freesize
http://www.myntra.com/towels-menu,SPACES\nDisney Pink Minnie Mouse Cotton 350 GSM Bath Towel\nRs. 495\nSizes: Large,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1463148/2016/9/2/11472814983011-SPACES-Disney-Pink-Minnie-Print-Cotton-350-GSM-Bath-Towel-3251472814982808-1_mini.jpg",SPACES Disney Pink Minnie Mouse Cotton 350 GSM Bath Towel,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,SPACES,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,Disney Pink Minnie Mouse Cotton 350 GSM Bath Towel,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,,,Rs. 495,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,,,Sizes: Large,http://www.myntra.com/bath-towels/spaces/spaces-disney-pink-minnie-mouse-cotton-350-gsm-bath-towel/1463148/buy?src=search,Large
http://www.myntra.com/towels-menu,Tangerine\nPink Set of 10 Superfine Cotton 450 GSM Towel Set\nRs. 829Rs. 663(20% off)\nSizes: Onesize,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1596600/2016/10/19/11476865699811-Tangerine-Pink-Set-of-10-Superfine-Cotton-450-GSM-Towel-Set-4511476865699640-1_mini.jpg",Tangerine Pink Set of 10 Superfine Cotton 450 GSM Towel Set,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Tangerine,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Pink Set of 10 Superfine Cotton 450 GSM Towel Set,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Rs. 829,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Rs. 663,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,(20% off),http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Sizes: Onesize,http://www.myntra.com/towel-set/tangerine/tangerine-pink-set-of-10-superfine-cotton-450-gsm-towel-set/1596600/buy?src=search,Onesize
http://www.myntra.com/towels-menu,"WELHOME\nRed 100% Cotton Set of 10 Towels\nRs. 1,750Rs. 962(45% off)\nSizes: Freesize",http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240627/2016/4/6/11459937257887-WELHOME-Red-100-Cotton-Set-of-10-Towels-701459937257566-1_mini.jpg",WELHOME Red 100% Cotton Set of 10 Towels,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,WELHOME,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,Red 100% Cotton Set of 10 Towels,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,"Rs. 1,750",http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,Rs. 962,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,(45% off),http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-10-towels/1240627/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"WELHOME\nRed 100% Cotton Set of 6 Towels\nRs. 1,495Rs. 822(45% off)\nSizes: Freesize",http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240622/2016/4/6/11459937241513-WELHOME-Red-100-Cotton-Set-of-10-Towels-9031459937241244-1_mini.jpg",WELHOME Red 100% Cotton Set of 6 Towels,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,WELHOME,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,Red 100% Cotton Set of 6 Towels,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,"Rs. 1,495",http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,Rs. 822,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,(45% off),http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/welhome/welhome-red-100-cotton-set-of-6-towels/1240622/buy?src=search,Freesize
http://www.myntra.com/towels-menu,Portico New York\nBoys Red Tom & Jerry Print 100% Cotton Bath Towel\nRs. 549Rs. 439(20% off)\nSizes: MEDIUM,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1255678/2016/3/30/11459329916532-Portico-New-York-Tom--Jerry-Boys-Red-Printed-100-Cotton-Bath-Towel-6391459329916166-1_mini.jpg",Portico New York Boys Red Tom & Jerry Print 100% Cotton Bath Towel,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,Portico New York,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,Boys Red Tom & Jerry Print 100% Cotton Bath Towel,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,Rs. 549,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,Rs. 439,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,(20% off),http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,Sizes: MEDIUM,http://www.myntra.com/bath-towels/portico-new-york/portico-new-york-boys-red-tom--jerry-print-100-cotton-bath-towel/1255678/buy?src=search,MEDIUM
http://www.myntra.com/towels-menu,"WELHOME\nGreen 100% Cotton Set of 6 Towels\nRs. 1,495Rs. 822(45% off)\nSizes: Freesize",http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1240623/2016/4/6/11459924086898-WELHOME-Unisex-Towel-Set-4001459924086433-1_mini.jpg",WELHOME Green 100% Cotton Set of 6 Towels,http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,WELHOME,http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,Green 100% Cotton Set of 6 Towels,http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,"Rs. 1,495",http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,Rs. 822,http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,(45% off),http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,Sizes: Freesize,http://www.myntra.com/towel-set/welhome/welhome-green-100-cotton-set-of-6-towels/1240623/buy?src=search,Freesize
http://www.myntra.com/towels-menu,"Trident\nAroma Set of 6 Towels\nRs. 2,500Rs. 1,000(60% off)\nSizes: Medium",http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1344871/2016/6/7/11465302606841-Trident-Aroma-Tea-Rose-Red-Set-of-6-Towels-5771465302606642-1_mini.jpg",Trident Aroma Set of 6 Towels,http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,Trident,http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,Aroma Set of 6 Towels,http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,"Rs. 2,500",http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,"Rs. 1,000",http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,(60% off),http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,Sizes: Medium,http://www.myntra.com/towel-set/trident/trident-aroma-set-of-6-towels/1344871/buy?src=search,Medium
http://www.myntra.com/towels-menu,BOMBAY DYEING\nPurple Leaf Pattern Cotton 480 GSM Bath Towel\nRs. 749\nSizes: Large,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1372117/2016/6/20/11466406259281-BOMBAY-DYEING-Unisex-Bath-Towels-4571466406259155-1_mini.jpg",BOMBAY DYEING Purple Leaf Pattern Cotton 480 GSM Bath Towel,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,BOMBAY DYEING,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,Purple Leaf Pattern Cotton 480 GSM Bath Towel,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,,,Rs. 749,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,,,Sizes: Large,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-purple-leaf-pattern-cotton-480-gsm-bath-towel/1372117/buy?src=search,Large
http://www.myntra.com/towels-menu,BOMBAY DYEING\nWhite 350 GSM Cotton Bath Towel\nRs. 429\nSizes: Large,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1448179/2016/9/9/11473407881045-BOMBAY-DYEING-Unisex-Bath-Towels-5841473407880894-1_mini.jpg",BOMBAY DYEING White 350 GSM Cotton Bath Towel,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,BOMBAY DYEING,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,White 350 GSM Cotton Bath Towel,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,,,Rs. 429,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,,,Sizes: Large,http://www.myntra.com/bath-towels/bombay-dyeing/bombay-dyeing-white-350-gsm-cotton-bath-towel/1448179/buy?src=search,Large
