url,Product link,Product link_link,Thumb image,Thumb image_alt,Thumb image_link,Brand value,Brand value_link,Product value,Product value_link,Strike value,Strike value_link,Price value,Price value_link,Discount value,Discount value_link,Sizes value,Sizes value_link,Selectasize value
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 8 Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1360222/2016/6/14/11465895738742-SEJ-by-Nisha-Gupta-Multicoloured-16-x-16-Set-of-8-Square-Cushion-Covers-8591465895738561-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,"Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360222/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SWHF\nWhite Set of 5 Fibre 16'' x 16'' Square Cushions\nRs. 1,995Rs. 997(50% off)\nSizes: Onesize",http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1286254/2016/4/25/11461564316182-SWHF-Unisex-Cushions-3341461564315925-1_mini.jpg",SWHF White Set of 5 Fibre 16'' x 16'' Square Cushions,http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,SWHF,http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,White Set of 5 Fibre 16'' x 16'' Square Cushions,http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,"Rs. 1,995",http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,Rs. 997,http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,(50% off),http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushions/swhf/swhf-white-set-of-5-fibre-16-x-16-square-cushions/1286254/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 8 Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1360221/2016/6/14/11465895726760-SEJ-by-Nisha-Gupta-Multicoloured-16-x-16-Set-of-8-Square-Cushion-Covers-2391465895726589-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,"Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360221/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 8 Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1360220/2016/6/14/11465895714387-SEJ-by-Nisha-Gupta-Multicoloured-16-x-16-Set-of-8-Square-Cushion-Covers-8491465895714167-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,"Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1360220/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 3 Square Cushion Covers\nRs. 799Rs. 639(20% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1360218/2016/5/24/11464081923863-SEJ-by-Nisha-Gupta-Unisex-Cushion-Covers-7601464081923573-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 3 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,"Multicoloured 16"" x 16"" Set of 3 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,Rs. 799,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,Rs. 639,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,(20% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-3-square-cushion-covers/1360218/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers\nRs. 1,199Rs. 719(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1511848/2016/9/10/11473492387435-SEJ-by-Nisha-Gupta-Multicoloured-Single-Printed-16-x-16-Square-Cushion-Cover-6881473492387187-1_mini.jpg","SEJ by Nisha Gupta Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,"Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,"Rs. 1,199",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,Rs. 719,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511848/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 8 Square Cushion Covers\nRs. 1,999Rs. 1,199(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1289664/2016/6/14/11465895676984-SEJ-by-Nisha-Gupta-Multicoloured-16-x-16-Set-of-8-Square-Cushion-Covers-5671465895676763-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,"Multicoloured 16"" x 16"" Set of 8 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,"Rs. 1,999",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,"Rs. 1,199",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-8-square-cushion-covers/1289664/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured 16"" x 16"" Set of 10 Square Cushion Covers\nRs. 2,499Rs. 1,499(Rs. 1,000 off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1289666/2016/6/14/11465895702281-SEJ-by-Nisha-Gupta-Multicoloured-16-x-16-Set-of-10-Square-Cushion-Covers-481465895701874-1_mini.jpg","SEJ by Nisha Gupta Multicoloured 16"" x 16"" Set of 10 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,"Multicoloured 16"" x 16"" Set of 10 Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,"Rs. 2,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,"(Rs. 1,000 off)",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-16-x-16-set-of-10-square-cushion-covers/1289666/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers\nRs. 1,199Rs. 719(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1511852/2016/9/10/11473499331628-SEJ-by-Nisha-Gupta-Multicoloured-Set-of-5-Printed-16-x-16-Square-Cushion-Covers-1501473499331489-1_mini.jpg","SEJ by Nisha Gupta Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,"Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,"Rs. 1,199",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,Rs. 719,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511852/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nRed & Black Set of 5 Sequinned 16'' x 16'' Silk Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1479758/2016/8/18/11471499226896-SEJ-by-Nisha-Gupta-Unisex-Cushion-Covers-1481471499226714-1_mini.jpg",SEJ by Nisha Gupta Red & Black Set of 5 Sequinned 16'' x 16'' Silk Square Cushion Covers,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,Red & Black Set of 5 Sequinned 16'' x 16'' Silk Square Cushion Covers,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-red--black-set-of-5-sequinned-16-x-16-silk-square-cushion-covers/1479758/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers\nRs. 1,199Rs. 719(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1511850/2016/9/10/11473499280301-SEJ-by-Nisha-Gupta-Multicoloured-Set-of-5-Printed-16-x-16-Square-Cushion-Covers-5391473499279905-1_mini.jpg","SEJ by Nisha Gupta Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,"Multicoloured Set of 5 Printed 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,"Rs. 1,199",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,Rs. 719,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-printed-16-x-16-square-cushion-covers/1511850/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SWHF\nWhite Set of 3 Fibre 16'' x 16'' Square Cushions\nRs. 1,197Rs. 598(50% off)\nSizes: Onesize",http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1286253/2016/4/25/11461564353094-SWHF-Unisex-Cushions-4951461564352476-1_mini.jpg",SWHF White Set of 3 Fibre 16'' x 16'' Square Cushions,http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,SWHF,http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,White Set of 3 Fibre 16'' x 16'' Square Cushions,http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,"Rs. 1,197",http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,Rs. 598,http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,(50% off),http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushions/swhf/swhf-white-set-of-3-fibre-16-x-16-square-cushions/1286253/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nMulticoloured Set of 5 16'' x 16'' Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1289659/2016/4/7/11460029180713-SEJ-by-Nisha-Gupta-Multicoloured-Set-of-5-16-x-16-Square-Cushion-Covers-1741460029180131-1_mini.jpg",SEJ by Nisha Gupta Multicoloured Set of 5 16'' x 16'' Square Cushion Covers,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,Multicoloured Set of 5 16'' x 16'' Square Cushion Covers,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-multicoloured-set-of-5-16-x-16-square-cushion-covers/1289659/buy?src=search,Onesize
http://www.myntra.com/cushions-menu,"SEJ by Nisha Gupta\nBlue Set of 5 16"" x 16"" Square Cushion Covers\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1289630/2016/4/7/11460028964166-SEJ-by-Nisha-Gupta-Blue-Set-of-5-16-x-16-Square-Cushion-Covers-8641460028963670-1_mini.jpg","SEJ by Nisha Gupta Blue Set of 5 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,SEJ by Nisha Gupta,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,"Blue Set of 5 16"" x 16"" Square Cushion Covers",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,"Rs. 1,499",http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,Rs. 899,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,(40% off),http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,Sizes: Onesize,http://www.myntra.com/cushion-covers/sej-by-nisha-gupta/sej-by-nisha-gupta-blue-set-of-5-16-x-16-square-cushion-covers/1289630/buy?src=search,Onesize
